Event,Time,Date,Party,Agenda,Location
tennis activity,9am,the 19th,Alex,-,-
swimming activity,6pm,saturday,brother,-,-
doctor appointment,5pm,the 5th,brother,-,-
doctor appointment,1pm,the 8th,Marie,-,-
doctor appointment,1 pm,tuesday,-,-,-
football activity,7 pm,tuesday,-,-,-
yoga activity,11 am,thursday,-,-,-
lab appointment,7 pm,wednesday,-,-,-
swimming activity,2 pm,tuesday,-,-,-
dentist,1 pm,tuesday,-,-,-
dentist,10 am,monday,-,-,-
doctor appointment,11 am,monday,-,-,-
conference,7 pm,friday,executive team,discuss the company picnic,conference room 50
football activity,3 pm,thursday,-,-,-
swimming activity,7 pm,tuesday,-,-,-
dentist appointment,1 pm,thursday,-,-,-
football activity,1 pm,monday,-,-,-
optometrist appointment,1 pm,wednesday,-,-,-
conference,10 am,friday,infrastructure team,discuss the merger,conference room 100
doctor appointment,1 pm,wednesday,-,-,-
dentist,7 pm,thursday,-,-,-
yoga activity,10 am,tuesday,-,-,-
doctor appointment,5pm,monday,Tom,-,-
dentist appointment,3pm,monday,Martha,-,-
tennis activity,4pm,saturday,brother,-,-
lab appointment,7pm,wednesday,sister,-,-
football activity,6pm,the 13th,Jeff,-,-
doctor appointment,11am,the 5th,father,-,-
tennis activity,1pm,saturday,aunt,-,-
doctor appointment,7pm,the 3rd,father,-,-
yoga activity,5pm,sunday,Tom,-,-
yoga activity,9am,the 3rd,Tom,-,-
dentist appointment,1pm,the 10th,Jon,-,-
football activity,9am,friday,Ana,-,-
yoga activity,4pm,saturday,Tom,-,-
swimming activity,2pm,saturday,mother,-,-
doctor appointment,2pm,wednesday,Tom,-,-
football activity,9am,the 4th,Jon,-,-
dinner,5 pm,wednesday,-,-,-
dentist appointment,1 pm,monday,-,-,-
doctor appointment,1 pm,monday,-,-,-
meeting,1 pm,thursday,sales team,go over budget,conference room 50
dentist,2 pm,wednesday,-,-,-
yoga activity,11 am,tuesday,-,-,-
taking medicine,3pm,the 3rd,Marie,-,-
dentist appointment,4pm,the 3rd,Jon,-,-
swimming activity,5pm,thursday,aunt,-,-
conference,10am,sunday,sales team,discuss the merger,conference room 100
yoga activity,11am,friday,aunt,-,-
meeting,3pm,the 8th,boss,go over quarterly report,conference room 100
conference,9am,monday,boss,discuss the merger,conference room 100
doctor appointment,5pm,the 5th,mother,-,-
dentist appointment,7pm,the 4th,brother,-,-
swimming activity,5pm,thursday,Ana,-,-
doctor appointment,3pm,wednesday,Marie,-,-
swimming activity,11am,thursday,Marie,-,-
meeting,3pm,friday,infrastructure team,onboard new members,conference room 50
dentist appointment,10am,friday,mother,-,-
football activity,1 pm,monday,-,-,-
dinner,5 pm,friday,-,-,-
tennis activity,2 pm,tuesday,-,-,-
conference,7 pm,monday,sales team,discuss the merger,100 conference room
swimming activity,3 pm,thursday,-,-,-
yoga activity,3 pm,monday,-,-,-
conference,7pm,the 16th,sales team,go over budget,conference room 102
conference,9am,the 3rd,management,discuss the merger,conference room 100
optometrist appointment,6pm,friday,Martha,-,-
swimming activity,2pm,the 18th,aunt,-,-
yoga activity,10am,the 20th,sister,-,-
conference,2pm,the 4th,sales team,sign the NDA,conference room 50
swimming activity,4pm,the 14th,brother,-,-
yoga activity,2pm,the 12th,aunt,-,-
lab appointment,5pm,the 19th,aunt,-,-
conference,6pm,monday,management,discuss the company picnic,conference room 50
lab appointment,1pm,tuesday,aunt,-,-
lab appointment,5pm,the 15th,Tom,-,-
conference,3pm,the 17th,boss,discuss dress code,conference room 50
tennis activity,9am,monday,Tom,-,-
lab appointment,2pm,the 6th,Marie,-,-
conference,2pm,the 13th,HR,sign the NDA,conference room 50
lab appointment,10am,wednesday,Marie,-,-
conference,6pm,the 12th,infrastructure team,go over quarterly report,conference room 100
doctor appointment,7pm,sunday,Jon,-,-
lab appointment,7pm,sunday,mother,-,-
lab appointment,10am,the 10th,Ana,-,-
conference,9am,the 12th,infrastructure team,discuss dress code,100 conference room
doctor appointment,4pm,the 20th,Alex,-,-
tennis activity,10am,the 17th,Jeff,-,-
swimming activity,2pm,thursday,Alex,-,-
doctor appointment,2pm,the 4th,father,-,-
swimming activity,1pm,wednesday,Marie,-,-
meeting,6pm,the 3rd,HR,discuss the company picnic,conference room 100
lab appointment,9am,sunday,Jon,-,-
lab appointment,9am,the 8th,Marie,-,-
swimming activity,3pm,wednesday,mother,-,-
meeting,3pm,the 4th,executive team,discuss dress code,conference room 50
tennis activity,9am,the 16th,sister,-,-
conference,7pm,the 18th,vice president,go over budget,conference room 100
lab appointment,2pm,sunday,Martha,-,-
dinner,6pm,the 17th,mother,-,-
football activity,9am,the 1st,Tom,-,-
swimming activity,1pm,the 8th,Jeff,-,-
lab appointment,4pm,the 3rd,Jeff,-,-
optometrist appointment,4pm,the 19th,Tom,-,-
dentist appointment,2pm,the 6th,Jon,-,-
conference,7pm,monday,vice president,discuss dress code,100 conference room
conference,11am,the 7th,boss,discuss dress code,conference room 102
football activity,6pm,the 12th,Ana,-,-
meeting,1pm,friday,HR,sign the NDA,conference room 50
doctor appointment,11am,the 1st,mother,-,-
lab appointment,10am,thursday,Marie,-,-
conference,11am,thursday,infrastructure team,discuss the company picnic,conference room 50
tennis activity,3pm,friday,Ana,-,-
meeting,9am,tuesday,infrastructure team,discuss the company picnic,conference room 102
swimming activity,4pm,the 8th,father,-,-
conference,3pm,saturday,management,go over quarterly report,conference room 50
meeting,4pm,the 8th,boss,discuss dress code,conference room 100
lab appointment,1pm,sunday,Jeff,-,-
taking medicine,3pm,sunday,Jon,-,-
meeting,2pm,saturday,vice president,go over budget,100 conference room
swimming activity,6pm,the 9th,Marie,-,-
dentist appointment,10am,the 3rd,Jeff,-,-
dentist appointment,7pm,the 6th,father,-,-
dentist appointment,10am,the 10th,Jon,-,-
football activity,10am,the 6th,aunt,-,-
football activity,7pm,the 18th,Martha,-,-
dinner,7pm,saturday,Martha,-,-
optometrist appointment,7pm,the 4th,aunt,-,-
yoga activity,3 pm,friday,-,-,-
football activity,1 pm,tuesday,-,-,-
doctor appointment,3 pm,thursday,-,-,-
tennis activity,7 pm,monday,-,-,-
swimming activity,1 pm,tuesday,-,-,-
dentist,1 pm,wednesday,-,-,-
swimming activity,4pm,the 5th,Jon,-,-
meeting,7pm,sunday,vice president,sign the NDA,conference room 50
meeting,11am,the 8th,management,go over quarterly report,100 conference room
meeting,6pm,friday,vice president,go over budget,conference room 50
meeting,1pm,sunday,boss,onboard new members,conference room 50
dinner,5pm,the 13th,father,-,-
dinner,7pm,saturday,aunt,-,-
dinner,6pm,wednesday,aunt,-,-
swimming activity,1 pm,friday,-,-,-
tennis activity,11 am,friday,-,-,-
doctor appointment,11 am,tuesday,-,-,-
yoga activity,1 pm,thursday,-,-,-
medicine,3 pm,wednesday,-,-,-
meeting,7 pm,thursday,HR,discuss the company picnic,conference room 102
football activity,7 pm,tuesday,-,-,-
lab appointment,2 pm,wednesday,-,-,-
optometrist appointment,7 pm,wednesday,-,-,-
medicine,11 am,monday,-,-,-
meeting,1 pm,friday,executive team,go over budget,conference room 50
dinner,5 pm,tuesday,-,-,-
tennis activity,11 am,monday,-,-,-
dinner,5 pm,wednesday,-,-,-
dentist,1 pm,monday,-,-,-
medicine,10 am,friday,-,-,-
football activity,10 am,tuesday,-,-,-
yoga activity,2 pm,tuesday,-,-,-
dentist appointment,2 pm,friday,-,-,-
meeting,2 pm,monday,sales team,discuss the company picnic,100 conference room
dinner,5 pm,monday,-,-,-
swimming activity,3 pm,monday,-,-,-
yoga activity,10 am,friday,-,-,-
tennis activity,10 am,friday,-,-,-
optometrist appointment,11am,thursday,Tom,-,-
tennis activity,4pm,tuesday,Martha,-,-
swimming activity,4pm,the 8th,Jeff,-,-
optometrist appointment,7pm,the 3rd,Jeff,-,-
swimming activity,5pm,sunday,Martha,-,-
swimming activity,2pm,friday,brother,-,-
taking medicine,7pm,sunday,Ana,-,-
swimming activity,2pm,tuesday,Ana,-,-
tennis activity,7pm,sunday,Alex,-,-
conference,2pm,saturday,boss,go over budget,conference room 100
football activity,9am,wednesday,Jon,-,-
yoga activity,4pm,monday,sister,-,-
taking medicine,3pm,the 8th,Alex,-,-
dinner,6pm,the 13th,Alex,-,-
optometrist appointment,11am,the 5th,father,-,-
doctor appointment,5pm,the 14th,Martha,-,-
conference,6pm,monday,executive team,sign the NDA,100 conference room
meeting,9am,the 3rd,vice president,sign the NDA,conference room 102
meeting,2pm,the 14th,boss,discuss dress code,conference room 102
taking medicine,9am,the 4th,brother,-,-
conference,7pm,saturday,boss,discuss the merger,conference room 50
yoga activity,4pm,the 19th,Tom,-,-
taking medicine,2pm,the 19th,Tom,-,-
optometrist appointment,7pm,the 13th,aunt,-,-
optometrist appointment,4pm,the 1st,Jeff,-,-
dentist appointment,11am,the 3rd,Jeff,-,-
football activity,6pm,saturday,Tom,-,-
dentist appointment,5pm,tuesday,Jeff,-,-
lab appointment,11am,tuesday,Alex,-,-
tennis activity,2pm,the 15th,Marie,-,-
swimming activity,3pm,the 6th,Jon,-,-
conference,6pm,the 14th,sales team,sign the NDA,conference room 50
yoga activity,5pm,saturday,Tom,-,-
taking medicine,4pm,the 16th,Alex,-,-
swimming activity,3pm,the 2nd,Tom,-,-
yoga activity,11am,friday,aunt,-,-
football activity,11am,friday,Tom,-,-
dinner,8pm,the 12th,Jon,-,-
tennis activity,7 pm,thursday,-,-,-
dentist appointment,3 pm,monday,-,-,-
conference,11 am,friday,HR,discuss the merger,conference room 102
swimming activity,11 am,tuesday,-,-,-
doctor appointment,11 am,tuesday,-,-,-
yoga activity,7 pm,monday,-,-,-
lab appointment,11 am,monday,-,-,-
swimming activity,3 pm,wednesday,-,-,-
yoga activity,3 pm,friday,-,-,-
doctor appointment,2 pm,friday,-,-,-
conference,3 pm,wednesday,executive team,discuss the company picnic,100 conference room
dentist appointment,1 pm,tuesday,-,-,-
yoga activity,11am,the 10th,Martha,-,-
tennis activity,1pm,the 15th,father,-,-
conference,2pm,thursday,vice president,onboard new members,conference room 50
dinner,7pm,the 13th,Martha,-,-
tennis activity,10am,the 16th,brother,-,-
tennis activity,4pm,the 14th,brother,-,-
dentist appointment,1pm,the 1st,Martha,-,-
doctor appointment,9am,monday,Jon,-,-
dentist,7 pm,friday,-,-,-
meeting,2 pm,friday,executive team,discuss the company picnic,conference room 100
yoga activity,3 pm,friday,-,-,-
dinner,5 pm,thursday,-,-,-
doctor appointment,1 pm,thursday,-,-,-
lab appointment,11 am,tuesday,-,-,-
dinner,5pm,tuesday,Jon,-,-
dinner,6pm,the 4th,father,-,-
football activity,2pm,tuesday,father,-,-
conference,3pm,the 2nd,boss,sign the NDA,conference room 102
meeting,2pm,the 19th,executive team,go over budget,conference room 50
swimming activity,11am,the 8th,Marie,-,-
swimming activity,7pm,the 13th,Ana,-,-
conference,7pm,the 14th,HR,discuss the merger,conference room 100
dinner,5 pm,friday,-,-,-
doctor appointment,2 pm,tuesday,-,-,-
dentist,10 am,wednesday,-,-,-
dentist appointment,10 am,wednesday,-,-,-
lab appointment,11 am,wednesday,-,-,-
football activity,2 pm,tuesday,-,-,-
doctor appointment,1pm,saturday,Ana,-,-
meeting,1pm,the 4th,executive team,discuss the company picnic,conference room 102
yoga activity,4pm,the 16th,Marie,-,-
tennis activity,7pm,friday,Jeff,-,-
taking medicine,5pm,the 18th,brother,-,-
dinner,6pm,tuesday,Ana,-,-
doctor appointment,5pm,the 7th,Martha,-,-
meeting,4pm,the 19th,sales team,go over quarterly report,conference room 102
optometrist appointment,3pm,the 2nd,aunt,-,-
optometrist appointment,3pm,the 2nd,Alex,-,-
dentist appointment,9am,thursday,Ana,-,-
doctor appointment,9am,the 18th,Jeff,-,-
taking medicine,10am,sunday,Ana,-,-
optometrist appointment,6pm,the 6th,Jon,-,-
doctor appointment,11am,the 12th,sister,-,-
lab appointment,1pm,the 10th,Jeff,-,-
lab appointment,1 pm,friday,-,-,-
tennis activity,2 pm,thursday,-,-,-
swimming activity,2 pm,tuesday,-,-,-
doctor appointment,1 pm,tuesday,-,-,-
football activity,7 pm,monday,-,-,-
conference,11 am,monday,infrastructure team,discuss the merger,conference room 100
doctor appointment,3 pm,friday,-,-,-
football activity,2 pm,friday,-,-,-
dentist appointment,1 pm,friday,-,-,-
meeting,10 am,tuesday,executive team,discuss the company picnic,conference room 100
dentist,7 pm,friday,-,-,-
medicine,7 pm,friday,-,-,-
football activity,11 am,thursday,-,-,-
swimming activity,1 pm,friday,-,-,-
meeting,10 am,thursday,infrastructure team,go over budget,conference room 100
dentist,1 pm,thursday,-,-,-
medicine,7 pm,wednesday,-,-,-
lab appointment,3 pm,tuesday,-,-,-
conference,11am,the 7th,management,sign the NDA,conference room 100
doctor appointment,3pm,the 13th,Martha,-,-
yoga activity,3pm,the 18th,Ana,-,-
dentist appointment,3pm,the 1st,aunt,-,-
doctor appointment,5pm,the 19th,Jon,-,-
doctor appointment,3pm,the 14th,aunt,-,-
conference,10am,monday,infrastructure team,discuss dress code,conference room 50
doctor appointment,7pm,saturday,aunt,-,-
optometrist appointment,2pm,friday,Jon,-,-
swimming activity,2pm,sunday,brother,-,-
swimming activity,7pm,monday,Alex,-,-
tennis activity,5pm,the 10th,mother,-,-
taking medicine,5pm,the 1st,sister,-,-
lab appointment,6pm,the 17th,Marie,-,-
swimming activity,5pm,the 6th,brother,-,-
optometrist appointment,7pm,wednesday,Martha,-,-
conference,1pm,the 4th,boss,discuss the company picnic,conference room 50
doctor appointment,4pm,the 13th,Martha,-,-
dentist appointment,10am,the 4th,sister,-,-
football activity,4pm,thursday,Jon,-,-
swimming activity,11am,the 3rd,Tom,-,-
meeting,6pm,the 4th,executive team,discuss dress code,conference room 102
tennis activity,4pm,the 10th,mother,-,-
dinner,8pm,sunday,aunt,-,-
optometrist appointment,11am,monday,Jon,-,-
swimming activity,10am,the 8th,Jon,-,-
conference,11am,the 13th,executive team,go over quarterly report,conference room 50
conference,4pm,the 10th,sales team,discuss the company picnic,conference room 102
tennis activity,7pm,the 5th,Tom,-,-
football activity,1pm,the 5th,sister,-,-
doctor appointment,7 pm,monday,-,-,-
medicine,2 pm,monday,-,-,-
optometrist appointment,11 am,wednesday,-,-,-
lab appointment,2 pm,monday,-,-,-
football activity,2 pm,thursday,-,-,-
yoga activity,1 pm,wednesday,-,-,-
swimming activity,10am,the 14th,Jon,-,-
doctor appointment,11am,the 8th,aunt,-,-
football activity,2pm,the 10th,brother,-,-
football activity,11am,monday,mother,-,-
tennis activity,6pm,the 19th,Tom,-,-
doctor appointment,6pm,the 8th,Ana,-,-
swimming activity,3pm,friday,Marie,-,-
conference,9am,thursday,sales team,discuss dress code,conference room 102
conference,9am,saturday,infrastructure team,discuss dress code,conference room 100
dentist appointment,5pm,the 3rd,Jeff,-,-
yoga activity,7pm,the 10th,brother,-,-
doctor appointment,1pm,wednesday,Jon,-,-
football activity,11am,friday,brother,-,-
football activity,7pm,the 8th,Alex,-,-
dentist appointment,3pm,saturday,father,-,-
optometrist appointment,3pm,the 3rd,Martha,-,-
optometrist appointment,10am,the 3rd,Jeff,-,-
taking medicine,4pm,the 18th,Alex,-,-
lab appointment,7pm,the 14th,sister,-,-
dentist appointment,10am,sunday,aunt,-,-
taking medicine,9am,the 12th,Ana,-,-
optometrist appointment,3pm,the 7th,Martha,-,-
doctor appointment,4pm,wednesday,Alex,-,-
yoga activity,4pm,the 5th,Jeff,-,-
doctor appointment,2 pm,tuesday,-,-,-
football activity,7 pm,tuesday,-,-,-
dentist appointment,1 pm,friday,-,-,-
conference,3 pm,tuesday,HR,discuss the merger,conference room 102
swimming activity,2 pm,tuesday,-,-,-
tennis activity,7 pm,friday,-,-,-
doctor appointment,11 am,tuesday,-,-,-
conference,3 pm,friday,sales team,discuss the merger,conference room 100
yoga activity,11 am,wednesday,-,-,-
dentist appointment,3 pm,friday,-,-,-
optometrist appointment,3 pm,thursday,-,-,-
swimming activity,7 pm,monday,-,-,-
dentist appointment,2pm,tuesday,Martha,-,-
dinner,5pm,the 4th,Alex,-,-
optometrist appointment,1pm,tuesday,father,-,-
dentist appointment,9am,sunday,aunt,-,-
doctor appointment,1pm,tuesday,Martha,-,-
football activity,7pm,the 8th,Jeff,-,-
meeting,3pm,wednesday,management,discuss the company picnic,conference room 102
doctor appointment,11am,wednesday,Ana,-,-
tennis activity,11 am,tuesday,-,-,-
doctor appointment,3 pm,monday,-,-,-
optometrist appointment,1 pm,thursday,-,-,-
dentist,2 pm,thursday,-,-,-
medicine,10 am,monday,-,-,-
dinner,5 pm,friday,-,-,-
conference,2pm,the 13th,HR,discuss dress code,conference room 102
dentist appointment,2pm,the 7th,Tom,-,-
swimming activity,11am,the 6th,Jon,-,-
lab appointment,6pm,thursday,Ana,-,-
optometrist appointment,5pm,the 9th,father,-,-
dinner,5pm,the 2nd,sister,-,-
meeting,7pm,the 7th,infrastructure team,onboard new members,conference room 50
lab appointment,3pm,saturday,sister,-,-
meeting,1 pm,monday,infrastructure team,go over budget,conference room 50
dentist,11 am,thursday,-,-,-
dinner,5 pm,wednesday,-,-,-
conference,10 am,friday,HR,discuss the merger,conference room 100
dentist appointment,3 pm,wednesday,-,-,-
optometrist appointment,11 am,thursday,-,-,-
conference,3pm,friday,boss,discuss the company picnic,100 conference room
meeting,6pm,sunday,boss,discuss the merger,conference room 102
yoga activity,3pm,the 4th,sister,-,-
optometrist appointment,6pm,wednesday,father,-,-
tennis activity,11am,the 13th,Jon,-,-
swimming activity,6pm,the 8th,Marie,-,-
taking medicine,2pm,thursday,Martha,-,-
optometrist appointment,9am,saturday,father,-,-
conference,9am,the 4th,boss,discuss dress code,100 conference room
tennis activity,7pm,thursday,aunt,-,-
dinner,7pm,tuesday,brother,-,-
lab appointment,1pm,thursday,aunt,-,-
dentist,2 pm,friday,-,-,-
doctor appointment,1 pm,wednesday,-,-,-
medicine,10 am,friday,-,-,-
optometrist appointment,10 am,thursday,-,-,-
lab appointment,2 pm,tuesday,-,-,-
tennis activity,11 am,thursday,-,-,-
football activity,1pm,the 10th,Jon,-,-
lab appointment,4pm,the 9th,aunt,-,-
lab appointment,10am,thursday,brother,-,-
football activity,5pm,the 20th,sister,-,-
optometrist appointment,6pm,the 8th,Alex,-,-
optometrist appointment,1pm,wednesday,Marie,-,-
taking medicine,5pm,saturday,Martha,-,-
lab appointment,9am,sunday,father,-,-
yoga activity,11 am,friday,-,-,-
doctor appointment,1 pm,monday,-,-,-
tennis activity,10 am,wednesday,-,-,-
dentist,1 pm,wednesday,-,-,-
dentist appointment,10 am,tuesday,-,-,-
conference,3 pm,monday,sales team,discuss the merger,conference room 100
conference,6pm,the 10th,sales team,discuss the company picnic,100 conference room
doctor appointment,9am,saturday,aunt,-,-
yoga activity,9am,the 5th,mother,-,-
taking medicine,1pm,friday,sister,-,-
lab appointment,9am,the 10th,brother,-,-
meeting,6pm,thursday,sales team,go over budget,100 conference room
football activity,7pm,the 10th,Alex,-,-
football activity,9am,the 10th,Tom,-,-
meeting,3pm,the 3rd,infrastructure team,discuss the company picnic,conference room 100
swimming activity,5pm,thursday,Alex,-,-
football activity,1pm,saturday,Martha,-,-
football activity,1pm,sunday,Ana,-,-
taking medicine,6pm,friday,Jon,-,-
swimming activity,2pm,the 3rd,Jeff,-,-
meeting,7 pm,tuesday,HR,go over budget,conference room 100
dentist,3 pm,tuesday,-,-,-
yoga activity,7 pm,wednesday,-,-,-
tennis activity,3 pm,wednesday,-,-,-
optometrist appointment,3 pm,monday,-,-,-
doctor appointment,2 pm,monday,-,-,-
conference,1 pm,friday,HR,go over budget,conference room 102
lab appointment,1 pm,thursday,-,-,-
tennis activity,10 am,thursday,-,-,-
meeting,3 pm,wednesday,HR,go over budget,100 conference room
dinner,5 pm,thursday,-,-,-
yoga activity,11 am,friday,-,-,-
yoga activity,11am,the 10th,mother,-,-
dinner,8pm,the 7th,Tom,-,-
lab appointment,1pm,monday,Ana,-,-
meeting,3pm,the 13th,boss,discuss the merger,conference room 100
dentist appointment,2pm,the 1st,Jeff,-,-
dinner,5pm,the 20th,Jeff,-,-
football activity,6pm,the 1st,sister,-,-
tennis activity,4pm,sunday,father,-,-
